Price,Close,High,Low,Open,Volume
Ticker,AWH,AWH,AWH,AWH,AWH
Date,,,,,
2014-06-23,38.099998474121094,41.400001525878906,37.5,39.599998474121094,7800
2014-06-30,40.5,40.5,37.650001525878906,37.650001525878906,2773
2014-07-07,37.95000076293945,40.04999923706055,37.5,40.04999923706055,4693
2014-07-14,38.25,38.400001525878906,37.5,37.79999923706055,5480
2014-07-21,34.349998474121094,38.849998474121094,33.75,38.849998474121094,12340
2014-07-28,31.799999237060547,35.400001525878906,31.5,35.099998474121094,14840
2014-08-04,30.450000762939453,33.75,22.5,32.54999923706055,18647
2014-08-11,32.25,34.5,30.450000762939453,30.75,10781
2014-08-18,33.29999923706055,34.20000076293945,31.649999618530273,31.799999237060547,6273
2014-08-25,33.0,34.5,32.54999923706055,32.70000076293945,4600
2014-09-01,36.150001525878906,38.849998474121094,32.70000076293945,33.0,15240
2014-09-08,32.54999923706055,36.45000076293945,31.799999237060547,35.54999923706055,8127
2014-09-15,28.799999237060547,32.25,26.549999237060547,31.799999237060547,17113
2014-09-22,28.799999237060547,28.950000762939453,27.0,28.5,6173
2014-09-29,27.899999618530273,28.049999237060547,25.200000762939453,27.75,6180
2014-10-06,24.450000762939453,28.350000381469727,23.850000381469727,28.350000381469727,6340
2014-10-13,23.700000762939453,25.350000381469727,21.299999237060547,24.149999618530273,6221
2014-10-20,24.0,25.200000762939453,22.649999618530273,24.0,7627
2014-10-27,24.0,24.600000381469727,22.649999618530273,24.0,7607
2014-11-03,21.899999618530273,24.0,21.450000762939453,24.0,2839
2014-11-10,21.899999618530273,28.5,21.450000762939453,21.450000762939453,13080
2014-11-17,22.950000762939453,23.399999618530273,19.049999237060547,22.5,28619
2014-11-24,23.700000762939453,24.600000381469727,21.899999618530273,23.100000381469727,12200
2014-12-01,19.950000762939453,24.149999618530273,19.799999237060547,24.149999618530273,17467
2014-12-08,21.450000762939453,22.350000381469727,18.0,19.5,17253
2014-12-15,22.350000381469727,22.350000381469727,19.200000762939453,21.0,10027
2014-12-22,29.850000381469727,30.0,22.200000762939453,22.350000381469727,31933
2014-12-29,29.25,33.0,28.049999237060547,31.5,32099
2015-01-05,29.850000381469727,31.049999237060547,29.25,30.0,16521
2015-01-12,28.649999618530273,30.450000762939453,25.5,30.0,14972
2015-01-19,27.75,29.700000762939453,26.25,28.5,8734
2015-01-26,26.399999618530273,28.5,24.75,27.75,9319
2015-02-02,27.75,28.350000381469727,25.5,26.850000381469727,7006
2015-02-09,31.200000762939453,35.25,26.549999237060547,28.950000762939453,38847
2015-02-16,29.399999618530273,31.950000762939453,28.649999618530273,31.049999237060547,6500
2015-02-23,27.899999618530273,29.100000381469727,27.0,28.950000762939453,7781
2015-03-02,27.0,28.799999237060547,25.950000762939453,28.5,9341
2015-03-09,25.049999237060547,28.350000381469727,23.549999237060547,26.549999237060547,12207
2015-03-16,33.150001525878906,34.5,22.5,24.899999618530273,79321
2015-03-23,27.75,33.29999923706055,25.950000762939453,32.849998474121094,19500
2015-03-30,26.700000762939453,28.799999237060547,25.799999237060547,28.799999237060547,6899
2015-04-06,27.899999618530273,28.350000381469727,25.950000762939453,26.850000381469727,7867
2015-04-13,27.299999237060547,28.799999237060547,26.700000762939453,27.899999618530273,7046
2015-04-20,27.0,28.649999618530273,26.549999237060547,27.450000762939453,5573
2015-04-27,26.399999618530273,29.100000381469727,25.200000762939453,26.549999237060547,11781
2015-05-04,27.450000762939453,28.649999618530273,25.5,25.799999237060547,8572
2015-05-11,27.899999618530273,30.600000381469727,26.25,28.200000762939453,11386
2015-05-18,31.799999237060547,37.5,28.049999237060547,28.350000381469727,41787
2015-05-25,30.899999618530273,33.599998474121094,30.299999237060547,32.25,9186
2015-06-01,34.04999923706055,34.5,30.899999618530273,31.649999618530273,9039
2015-06-08,33.150001525878906,34.04999923706055,31.350000381469727,34.04999923706055,5247
2015-06-15,31.049999237060547,33.599998474121094,31.049999237060547,33.45000076293945,5573
2015-06-22,33.0,33.0,30.299999237060547,31.5,7140
2015-06-29,30.75,32.849998474121094,30.600000381469727,31.649999618530273,2553
2015-07-06,29.399999618530273,30.450000762939453,27.0,30.299999237060547,9294
2015-07-13,31.049999237060547,32.400001525878906,28.049999237060547,29.700000762939453,66259
2015-07-20,30.75,33.0,28.950000762939453,31.200000762939453,11839
2015-07-27,30.0,32.849998474121094,29.100000381469727,31.5,12140
2015-08-03,28.350000381469727,31.950000762939453,27.299999237060547,30.299999237060547,21846
2015-08-10,28.950000762939453,29.399999618530273,27.149999618530273,28.5,9427
2015-08-17,29.399999618530273,30.899999618530273,27.450000762939453,29.25,11633
2015-08-24,29.100000381469727,30.0,27.149999618530273,28.5,14387
2015-08-31,34.04999923706055,34.20000076293945,28.649999618530273,29.100000381469727,20528
2015-09-07,31.200000762939453,34.04999923706055,30.75,34.04999923706055,14080
2015-09-14,33.45000076293945,34.349998474121094,28.5,30.75,25668
2015-09-21,30.149999618530273,32.849998474121094,22.049999237060547,32.25,5213
2015-09-28,30.600000381469727,31.950000762939453,29.399999618530273,30.0,10540
2015-10-05,31.5,32.70000076293945,29.399999618530273,30.75,10405
2015-10-12,32.25,33.0,30.149999618530273,31.799999237060547,12320
2015-10-19,31.350000381469727,33.0,29.25,32.54999923706055,11120
2015-10-26,29.399999618530273,33.0,29.25,33.0,10813
2015-11-02,29.549999237060547,30.600000381469727,29.25,30.149999618530273,3833
2015-11-09,27.600000381469727,30.600000381469727,26.25,30.299999237060547,10007
2015-11-16,27.600000381469727,27.75,26.700000762939453,27.149999618530273,1527
2015-11-23,26.850000381469727,27.75,26.25,27.299999237060547,3180
2015-11-30,28.200000762939453,30.0,25.649999618530273,26.399999618530273,9800
2015-12-07,27.75,29.700000762939453,26.850000381469727,28.950000762939453,5873
2015-12-14,26.549999237060547,28.200000762939453,24.450000762939453,27.75,10353
2015-12-21,25.950000762939453,27.75,25.350000381469727,25.799999237060547,6813
2015-12-28,27.0,27.450000762939453,26.100000381469727,26.549999237060547,4293
2016-01-04,26.700000762939453,27.600000381469727,25.649999618530273,26.100000381469727,4647
2016-01-11,23.100000381469727,26.100000381469727,15.0,25.649999618530273,7207
2016-01-18,23.100000381469727,23.850000381469727,19.350000381469727,22.5,11406
2016-01-25,22.950000762939453,25.350000381469727,22.649999618530273,23.100000381469727,3014
2016-02-01,20.549999237060547,23.700000762939453,20.549999237060547,22.5,4499
2016-02-08,18.75,21.600000381469727,15.600000381469727,21.600000381469727,8753
2016-02-15,21.0,22.950000762939453,18.149999618530273,19.049999237060547,36693
2016-02-22,24.0,24.299999237060547,18.149999618530273,22.950000762939453,28368
2016-02-29,23.25,24.75,21.0,24.0,9780
2016-03-07,22.5,25.350000381469727,21.0,22.799999237060547,8487
2016-03-14,23.549999237060547,24.600000381469727,18.299999237060547,22.649999618530273,3740
2016-03-21,21.75,29.100000381469727,21.149999618530273,24.0,39840
2016-03-28,22.350000381469727,23.850000381469727,21.899999618530273,22.649999618530273,9134
2016-04-04,19.799999237060547,22.5,19.049999237060547,22.049999237060547,19160
2016-04-11,21.75,23.700000762939453,19.950000762939453,19.950000762939453,12740
2016-04-18,20.399999618530273,22.5,20.399999618530273,21.75,5693
2016-04-25,20.850000381469727,21.600000381469727,19.5,20.549999237060547,6526
2016-05-02,18.0,21.299999237060547,17.25,21.299999237060547,5426
2016-05-09,16.950000762939453,19.200000762939453,16.049999237060547,18.299999237060547,11039
2016-05-16,18.450000762939453,21.0,17.100000381469727,17.100000381469727,10767
2016-05-23,18.149999618530273,21.0,17.25,18.899999618530273,6987
2016-05-30,18.899999618530273,19.950000762939453,17.850000381469727,18.899999618530273,4673
2016-06-06,19.049999237060547,20.25,18.299999237060547,19.200000762939453,13720
2016-06-13,19.049999237060547,19.5,18.0,19.049999237060547,16121
2016-06-20,18.0,21.0,18.0,18.75,14066
2016-06-27,16.5,18.450000762939453,15.0,18.0,22400
2016-07-04,16.200000762939453,17.549999237060547,13.800000190734863,16.649999618530273,27167
2016-07-11,18.450000762939453,21.0,16.049999237060547,16.350000381469727,32167
2016-07-18,17.850000381469727,19.5,16.5,18.600000381469727,9926
2016-07-25,20.549999237060547,22.5,17.549999237060547,17.700000762939453,27547
2016-08-01,21.149999618530273,21.149999618530273,18.899999618530273,21.0,8413
2016-08-08,20.399999618530273,21.149999618530273,18.600000381469727,21.149999618530273,5447
2016-08-15,19.350000381469727,20.399999618530273,18.149999618530273,19.950000762939453,4733
2016-08-22,19.950000762939453,20.399999618530273,18.149999618530273,19.200000762939453,4327
2016-08-29,20.25,22.049999237060547,19.5,19.950000762939453,8219
2016-09-05,21.0,21.299999237060547,18.899999618530273,19.799999237060547,9640
2016-09-12,18.75,21.299999237060547,18.75,21.149999618530273,13580
2016-09-19,20.399999618530273,21.600000381469727,18.75,18.75,16580
2016-09-26,19.5,21.0,18.600000381469727,20.700000762939453,11834
2016-10-03,17.399999618530273,19.200000762939453,15.75,18.899999618530273,12513
2016-10-10,16.5,19.950000762939453,16.049999237060547,17.549999237060547,35287
2016-10-17,16.649999618530273,17.399999618530273,15.149999618530273,16.200000762939453,20553
2016-10-24,15.149999618530273,19.649999618530273,15.0,16.5,35220
2016-10-31,13.800000190734863,16.350000381469727,13.5,15.0,12947
2016-11-07,18.600000381469727,18.75,11.399999618530273,15.0,28167
2016-11-14,16.950000762939453,19.049999237060547,15.75,18.899999618530273,16707
2016-11-21,18.450000762939453,18.450000762939453,16.950000762939453,17.25,4799
2016-11-28,18.0,18.600000381469727,17.399999618530273,18.600000381469727,4787
2016-12-05,16.950000762939453,18.0,16.350000381469727,17.700000762939453,5307
2016-12-12,17.100000381469727,18.0,16.049999237060547,16.950000762939453,5986
2016-12-19,15.75,17.100000381469727,15.300000190734863,16.950000762939453,9574
2016-12-26,14.25,16.049999237060547,13.649999618530273,15.300000190734863,22713
2017-01-02,19.350000381469727,20.100000381469727,14.25,14.25,21100
2017-01-09,18.899999618530273,21.0,17.100000381469727,19.5,24614
