Price,Close,High,Low,Open,Volume
Ticker,BODI,BODI,BODI,BODI,BODI
Date,,,,,
2022-03-07,106.0,113.0,87.0,99.5,179444
2022-03-14,111.5,115.25,96.75,105.0,139398
2022-03-21,105.5,114.5,103.5,109.0,97992
2022-03-28,105.5,114.5,102.0,106.0,64878
2022-04-04,91.5,109.0,87.25,107.0,80830
2022-04-11,98.0,101.0,88.75,94.5,60410
2022-04-18,85.5,96.5,81.5,96.0,82420
2022-04-25,82.0,89.5,80.5,84.0,69794
2022-05-02,78.0,87.5,75.5,81.5,80234
2022-05-09,54.5,76.0,45.5,76.0,179134
2022-05-16,80.5,82.0,50.0,52.0,198710
2022-05-23,108.0,110.0,73.5,82.5,147400
2022-05-30,102.0,116.5,98.5,111.0,136948
2022-06-06,76.0,110.25,74.5,103.5,147240
2022-06-13,73.0,74.5,63.5,72.0,99108
2022-06-20,69.5,74.5999984741211,64.5,73.0,287364
2022-06-27,59.5,70.5,57.0,70.0,69968
2022-07-04,69.0,69.5,56.0,58.5,46988
2022-07-11,59.0,68.0,54.5,68.0,52870
2022-07-18,61.5,65.5,58.5,59.5,58614
2022-07-25,60.0,65.5,55.0,62.0,58552
2022-08-01,70.0,75.0,58.5,59.5,42264
2022-08-08,75.5,82.5,63.5,69.5,78688
2022-08-15,73.0,83.0,69.0,76.5,58922
2022-08-22,66.5,71.5,66.0,69.0,36650
2022-08-29,57.0,66.5,57.0,65.5,49720
2022-09-05,63.5,68.5,57.0,58.5,33326
2022-09-12,57.5,70.5,56.0,63.5,50084
2022-09-19,57.0,62.25,56.0,59.0,28216
2022-09-26,50.5,59.5,50.0,57.0,45804
2022-10-03,55.0,63.45000076293945,50.5,54.0,44624
2022-10-10,58.0,59.0,50.5,56.0,29022
2022-10-17,51.0,62.75,50.0,60.5,62058
2022-10-24,49.20000076293945,54.0,45.5,50.5,64596
2022-10-31,45.5,52.5,44.5,48.75,56488
2022-11-07,44.400001525878906,48.650001525878906,42.5,44.5,58298
2022-11-14,40.0,46.5,39.849998474121094,44.400001525878906,36902
2022-11-21,38.54999923706055,41.95000076293945,35.150001525878906,40.0,22944
2022-11-28,35.0,40.5,34.150001525878906,38.5,105196
2022-12-05,41.0,43.25,34.5,35.70000076293945,50532
2022-12-12,37.5,42.5,36.5,41.0,48972
2022-12-19,27.299999237060547,37.5,26.700000762939453,37.5,46852
2022-12-26,26.299999237060547,28.149999618530273,25.0,26.149999618530273,47814
2023-01-02,26.100000381469727,29.0,25.0,27.149999618530273,22338
2023-01-09,34.400001525878906,37.349998474121094,26.600000381469727,26.600000381469727,45526
